category,title,subtitle,single_price,image_urls,details,directions
 Poultry,Always Fresh Random Boneless Skinless Chicken Breast,About 10.0 lb each • $3.49 / lb (About 10.0 lb each)Final cost by weight,$34.90 each (est.),http://95.217.130.223:9000/instacart-product-images/large_58aeb0fe-d42e-4384-9ea8-5becb03539d0.png,-,-
 Poultry,"John F. Martin & Sons Turkey Bacon, Old Fashioned Hickory Smoked",12 oz • $0.33/oz,$3.99 ,http://95.217.130.223:9000/instacart-product-images/large_818f4783-aa81-4a32-a73e-0309287e4e3c.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,"Safe Handling Instructions: This product was prepared from inspected and passed meat and/or poultry. Some food products may contain bacteria that could cause illness if the product is mishandled or cooked improperly. For your protection, follow these safe handling instructions. Keep refrigerated or frozen. Thaw in refrigerator or microwave. Keep raw meat and poultry separate from other foods. Wash working surfaces (including cutting boards), utensils and hands after touching raw meat or poultry. Cook thoroughly. Keep hot foods hot. Refrigerate leftovers immediately or discard., Stovetop: Cook bacon in a skillet over medium heat until browned and crisp. Turning to brown evenly. Drain bacon on a paper towel if desired. Oven: Arrange bacon in single layer in shallow baking dish. Bake at 375 degrees F for 14-17 minutes or until browned and crisp. Microwave: Arrange slices in single layer between paper towels in microwave-safe dish. Microwave on high for the following approximate times: 2 slices, 2 - 2-1/2 minutes; 4 slices. 4 - 4-1/2minutes; 6 slices. 5-6 minutes. Note: All microwave ovens vary. Times are approximate., Keep refrigerated. Storage: Keep refrigerated or frozen. Use or freeze by date stamped on package. Vacuum-packaged bacon will keep up to 6 months in the freezer. Once opened use within 1 week."
 Poultry,Always Fresh Random Boneless Skinless Chicken Breast,About 40.0 lb each • $1.99 / lb (About 40.0 lb each)Final cost by weight,$79.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_58aeb0fe-d42e-4384-9ea8-5becb03539d0.png,-,-
 Poultry,R/W Halal Chicken Drumstick,About 40.0 lb each • $0.79 / lb (About 40.0 lb each)Final cost by weight,$31.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_9ac40b22-48da-45d5-914d-df3a5dbf78a6.jpg,-,-
 Poultry,Oscar Mayer Gluten Free Turkey Bacon with 58% Less Fat & 57% Less Sodium,12 oz • $0.42/oz,$4.99 ,"http://95.217.130.223:9000/instacart-product-images/large_11bf0365-86f3-447b-8692-58481b8e0019.jpg, http://95.217.130.223:9000/instacart-product-images/large_8429e5c3-ca93-42ef-8282-bbd2458ff19d.jpg, http://95.217.130.223:9000/instacart-product-images/large_6fe9817f-35de-4c87-be02-517c316b48fd.jpg",Please note this product is for 1 unit. Please see promotion to purchase case price.,"Heating Directions:, (Appliances & Desired Crispness Of Turkey Bacon Varies, Cooking Times Are Guidelines.)., Stove: Cook Turkey Bacon In Unheated Skillet On Medium 8 To 10 Min., Turning Frequently., Oven: Bake Turkey Bacon At 375F In Shallow Pan 10 Min. (No Turning Necessary)., Microwave: Place 2 Turkey Bacon Slices Between Paper Towels On Microwaveable Plate:; Cook On High 1 To 1 - 1/2 Min. (Caution: Plate May Be Hot.)., For Two Servings., Once Opened, Use Within 7 Days."
 Poultry,John F. Martin & Sons Turkey Bacon,5 lb • $0.30/oz,$23.99 ,http://95.217.130.223:9000/instacart-product-images/large_190a6ad7-d400-4129-9393-bd99760615b2.jpg,Please note this product is for 1 unit. Please see promotion to purchase case price.,-
 Poultry,Godshall's Turkey Bacon,12 oz • $0.33/oz,$3.99 ,"http://95.217.130.223:9000/instacart-product-images/large_9f45f69d-aefc-496a-8618-8ebda0f4a911.png, http://95.217.130.223:9000/instacart-product-images/large_be600bde-78ac-465a-8cad-c5afec9fe1ef.png, http://95.217.130.223:9000/instacart-product-images/large_7f75b1bd-fc8c-4b4e-814a-b49fc1afdd30.jpg","At Godshall’s we only use high quality cuts of turkey. Our delightful bacon has an a rich smoky taste and aroma that you’ll love because we take time to Real Wood Smoke our turkey bacon without using artificial chemical flavors. So, if you’re ready for Real Wood Smoked, Real Delicious Bacon please give us a try.","Cooking Instructions: Skillet: Pre-heat pan to medium high. Heat slices for 3 minutes, then flip and heat for another 2 minutes. Flip again and heat for 30 seconds, place on napkin or paper towel. Bake: Pre-heat oven to 400 degrees F, and set slices on a wire or mesh rack in a shallow pan. Bake for about 10 minutes. Microwave: Use a microwave safe plate and put slices between napkins or paper towels Cook on HIGH power. 2 strips: 1 1/2 minutes, 4 strips: 2 1/2 minutes. Air Fry: Pre-heat to 350 degrees F, once heated cook on a rack for 8 minutes., Keep refrigerated."
 Poultry,Oscar Mayer Gluten Free Turkey Bacon with 58% Less Fat & 57% Less Sodium,12 oz • $0.42/oz,$4.99 ,"http://95.217.130.223:9000/instacart-product-images/large_11bf0365-86f3-447b-8692-58481b8e0019.jpg, http://95.217.130.223:9000/instacart-product-images/large_8429e5c3-ca93-42ef-8282-bbd2458ff19d.jpg, http://95.217.130.223:9000/instacart-product-images/large_6fe9817f-35de-4c87-be02-517c316b48fd.jpg",Please note this product is for 1 unit. Please see promotion to purchase case price.,"Heating Directions:, (Appliances & Desired Crispness Of Turkey Bacon Varies, Cooking Times Are Guidelines.)., Stove: Cook Turkey Bacon In Unheated Skillet On Medium 8 To 10 Min., Turning Frequently., Oven: Bake Turkey Bacon At 375F In Shallow Pan 10 Min. (No Turning Necessary)., Microwave: Place 2 Turkey Bacon Slices Between Paper Towels On Microwaveable Plate:; Cook On High 1 To 1 - 1/2 Min. (Caution: Plate May Be Hot.)., For Two Servings., Once Opened, Use Within 7 Days."
 Poultry,Deen Halal Turkey Breakfast Slices,12 oz • $0.42/oz,$4.99 ,"http://95.217.130.223:9000/instacart-product-images/large_a440b6f7-1dfe-4928-ab95-344b0c0818de.jpg, http://95.217.130.223:9000/instacart-product-images/large_64c13999-2883-4a67-bd36-7b1ec75359ab.jpg, http://95.217.130.223:9000/instacart-product-images/large_8ff8ee9d-ed26-4c3d-9404-4108df0228bc.jpg",Please note this product is for 1 unit. Please see promotion to purchase case price.,"Safe Handling Instructions: This product was prepared from inspected and passed meat and/or poultry. Some food products may contain bacteria that could cause illness if the product is mishandled or cooked improperly. For your protection, follow these safe handling instructions. Keep refrigerated or frozen. Thaw in refrigerator or microwave. Keep raw meat and poultry separate from other foods. Wash working surfaces (including cutting boards), utensils and hands after touching raw meat or poultry. Cook thoroughly. Keep hot foods hot. Refrigerate leftovers immediately or discard., Cooking Instructions: Fry: Cook in skillet over low heat. Turn frequently, allowing slices to brown evenly. Place separated strips on rack in shallow pan. Bake about 15 minutes at 400 degrees F. No turning necessary. Place strips in shallow glass container or paper plate. Cover with paper towel. Cook on high power. 2 strips: 1-1/2 min., 4 strips: 2-1/2 min., Keep refrigerated."
 Poultry,Boneless Skinless Chicken Breast From Medium Size Chicken,About 40.0 lb each • $2.99 / lb (About 40.0 lb each)Final cost by weight,$119.60 each (est.),http://95.217.130.223:9000/instacart-product-images/large_d9be3564-7eb9-4e67-998f-6123e6a74216.jpg,-,-
