"No","type","name","price","description","option_keyword","option_name","option_price"
"1","appetizers","Beef Dumplings","10.45","6 PCS","Dumplings","Steamed","0"
"2","appetizers","Beef Dumplings","10.45","6 PCS","Dumplings","Fried","0"
"3","appetizers","Cold Sesame Noodles","10.95",,"Cold Sesame Noodles","Cold Sesame Noodles","0"
"4","appetizers","Crispy Beef Appetizer","15.25","Thin strips of beef seasoned, and flash fried, served with choice of garlic, brown or spicy Thai Sauce","Crispy Beef Appetizer","Crispy Beef Appetizer","0"
"5","appetizers","Dark Meat Chicken Sticks","9.95",,"Dark Meat Chicken Sticks","Dark Meat Chicken Sticks","0"
"6","appetizers","Dragon Fingers","12.65","White meat chicken strips, panko breaded, fried to perfection with chef’s dragon sauce","Dragon Fingers","Dragon Fingers","0"
"7","appetizers","Egg Roll","5.25",,"Egg Roll","Egg Roll","0"
"8","appetizers","French Fries","6.84",,"French Fries","French Fries","0"
"9","appetizers","Fried Wontons","11.25","9 PCS","Fried Wontons","Fried Wontons","0"
"10","appetizers","Oriental Mini Dogs","8.95",,"Oriental Mini Dogs","Oriental Mini Dogs","0"
"11","appetizers","Scallion Pancakes","9.14",,"Scallion Pancakes","Scallion Pancakes","0"
"12","appetizers","Spring Rolls","7.75","2 Pcs","Spring Rolls","Spring Rolls","0"
"13","appetizers","Vegetable Egg Roll","4.45",,"Vegetable Egg Roll","Vegetable Egg Roll","0"
"14","appetizers","Wings","12.45",,"Wing Sauce","Spicy Thai","0"
"15","appetizers","Wings","12.45",,"Wing Sauce","Sweet","0"
"16","appetizers","Wings","12.45",,"Wing Sauce","Buffalo","0"
"17","soups","Wonton Soup","5.25",,"Size","Pint","5"
"18","soups","Wonton Soup","5.25",,"Size","Quart","10"
"19","soups","Wonton Soup","5.25",,"Extra Wonton","Extra Wonton","2"
"20","soups","Egg Drop Soup","5.25",,"Size","Pint","5"
"21","soups","Egg Drop Soup","5.25",,"Size","Quart","10"
"22","soups","Hot And Sour Soup","5.25",,"Size","Pint","5"
"23","soups","Hot And Sour Soup","5.25",,"Size","Quart","10"
"24","soups","Egg Drop Wonton Soup","5.25",,"Size","Pint","5"
